cancer,edin,p50,is_tumor
SKCM,1.0,0.0769,False
STAD,0.75,0.1372,True
STAD,0.5,0.1213,False
TGCT,0.72,0.1000,True
THCA,0.53,0.0833,True
THCA,0.48,0.0646,False
THYM,0.66,0.0769,True
UCEC,0.54,0.1111,True
UCEC,0.71,0.0952,False
UCS,0.7,0.1084,True
UVM,0.5,0.0895,True
ACC,0.01,0.0312,True
BLCA,0.01,0.0238,True
BRCA,0.02,0.0351,True
BRCA,0.02,0.0420,False
CESC,0.02,0.0263,True
COAD,0.01,0.0455,True
DLBC,0.02,0.0189,True
ESCA,0.06,0.0232,True
GBM,0.04,0.0385,True
HNSC,0.02,0.0370,True
HNSC,0.05,0.0718,False
KICH,0.03,0.0714,True
KICH,0.08,0.0635,False
KIRC,0.03,0.0476,True
KIRC,0.04,0.0526,False
KIRP,0.01,0.0474,True
LAML,0.02,0.0588,True
LGG,0.02,0.0345,True
LIHC,0.06,0.0571,True
LIHC,0.02,0.1000,False
LUAD,0.03,0.0417,True
LUSC,0.03,0.0361,True
MESO,0.01,0.0357,True
OV,0.02,0.0217,True
PAAD,0.04,0.0488,True
PCPG,0.05,0.0400,True
PRAD,0.01,0.0345,True
PRAD,0.02,0.0455,False
READ,0.03,0.0729,True
SARC,0.02,0.0263,True
SKCM,0.02,0.0297,True
STAD,0.03,0.0222,True
STAD,0.03,0.0555,False
TGCT,0.02,0.0169,True
THCA,0.02,0.0333,True
THCA,0.05,0.0526,False
THYM,0.02,0.0170,True
UCEC,0.02,0.0378,True
UCEC,0.03,0.0283,False
ACC,0.57,0.1515,True
BLCA,0.82,0.1333,True
BLCA,0.89,0.1000,False
BRCA,0.85,0.1515,True
BRCA,0.69,0.0852,False
CESC,0.86,0.1351,True
CESC,1.0,0.1562,False
CHOL,0.86,0.1500,True
CHOL,0.33,0.1818,False
COAD,0.69,0.1277,True
COAD,0.54,0.1088,False
DLBC,0.96,0.1644,True
ESCA,0.97,0.1899,True
ESCA,0.64,0.1017,False
GBM,0.89,0.1798,True
GBM,1.0,0.1818,False
HNSC,0.84,0.1389,True
HNSC,0.75,0.0976,False
KICH,0.57,0.1429,True
KICH,0.71,0.1603,False
KIRC,0.75,0.1293,True
KIRC,0.75,0.1202,False
KIRP,0.72,0.1293,True
KIRP,0.91,0.1133,False
LAML,0.46,0.1053,True
LGG,0.87,0.1364,True
LIHC,0.61,0.1538,True
LIHC,0.42,0.1875,False
LUAD,0.76,0.1429,True
LUAD,0.59,0.1250,False
LUSC,0.85,0.1458,True
LUSC,0.84,0.1200,False
MESO,0.84,0.1667,True
OV,0.93,0.1905,True
PAAD,0.72,0.1429,True
PAAD,1.0,0.1715,False
PCPG,0.75,0.1559,True
PCPG,0.67,0.0526,False
PRAD,0.85,0.1429,True
PRAD,0.79,0.1277,False
READ,0.68,0.1297,True
READ,0.6,0.1334,False
SARC,0.88,0.1622,True
SARC,0.5,0.0845,False
SKCM,0.84,0.1372,True
SKCM,1.0,0.2424,False
STAD,0.81,0.1739,True
STAD,0.59,0.1918,False
TGCT,0.9,0.1212,True
THCA,0.76,0.1290,True
THCA,0.64,0.1127,False
THYM,0.9,0.1342,True
THYM,1.0,0.1124,False
UCEC,0.64,0.1727,True
UCEC,0.89,0.1935,False
UCS,0.93,0.1481,True
UVM,0.71,0.1250,True
ACC,0.01,0.0333,True
BLCA,0.02,0.0357,True
BRCA,0.02,0.0351,True
BRCA,0.01,0.0455,False
CESC,0.01,0.0282,True
CHOL,0.08,0.0718,True
COAD,0.01,0.0426,True
DLBC,0.02,0.0256,True
ESCA,0.01,0.0196,True
GBM,0.07,0.0455,True
GBM,0.2,0.0498,False
HNSC,0.03,0.0393,True
HNSC,0.02,0.0323,False
KIRC,0.02,0.0417,True
KIRP,0.01,0.0387,True
KIRP,0.06,0.0351,False
LAML,0.03,0.0769,True
LGG,0.02,0.0417,True
LIHC,0.03,0.0541,True
LIHC,0.04,0.0857,False
LUAD,0.01,0.0370,True
LUAD,0.08,0.0670,False
LUSC,0.01,0.0357,True
LUSC,0.04,0.0500,False
MESO,0.03,0.0500,True
OV,0.02,0.0194,True
PAAD,0.03,0.0476,True
PCPG,0.07,0.0526,True
PRAD,0.01,0.0385,True
PRAD,0.04,0.0945,False
READ,0.02,0.0678,True
READ,0.1,0.1111,False
SARC,0.02,0.0312,True
SARC,0.5,0.0615,False
SKCM,0.01,0.0323,True
STAD,0.05,0.0426,True
STAD,0.09,0.0522,False
TGCT,0.01,0.0227,True
THCA,0.03,0.0472,True
THCA,0.03,0.0620,False
UCEC,0.02,0.0500,True
UCEC,0.03,0.0370,False
UCS,0.02,0.0185,True
ACC,0.04,0.0377,True
BLCA,0.1,0.0345,True
BRCA,0.06,0.0318,True
BRCA,0.04,0.0283,False
CESC,0.07,0.0278,True
CHOL,0.19,0.0526,True
CHOL,0.22,0.1088,False
COAD,0.06,0.0409,True
COAD,0.02,0.0476,False
DLBC,0.02,0.0278,True
ESCA,0.12,0.0299,True
GBM,0.05,0.0339,True
HNSC,0.08,0.0381,True
HNSC,0.07,0.0476,False
KICH,0.02,0.0351,True
KICH,0.12,0.0513,False
KIRC,0.06,0.0345,True
KIRC,0.08,0.0417,False
KIRP,0.06,0.0417,True
KIRP,0.06,0.0384,False
LAML,0.04,0.0557,True
LGG,0.04,0.0345,True
LIHC,0.12,0.0588,True
LIHC,0.12,0.0714,False
LUAD,0.06,0.0333,True
LUAD,0.05,0.0435,False
LUSC,0.09,0.0323,True
MESO,0.05,0.0334,True
OV,0.14,0.0333,True
PAAD,0.08,0.0426,True
PCPG,0.1,0.0417,True
PRAD,0.05,0.0333,True
PRAD,0.04,0.0323,False
READ,0.02,0.0357,True
SARC,0.1,0.0286,True
SARC,0.5,0.1000,False
SKCM,0.04,0.0270,True
SKCM,1.0,0.0938,False
STAD,0.09,0.0345,True
STAD,0.09,0.0449,False
TGCT,0.03,0.0204,True
THCA,0.05,0.0312,True
THCA,0.02,0.0294,False
THYM,0.03,0.0196,True
UCEC,0.09,0.0476,True
UCEC,0.03,0.0278,False
UCS,0.04,0.0194,True
ACC,0.13,0.0534,True
BLCA,0.14,0.0417,True
BRCA,0.09,0.0333,True
BRCA,0.06,0.0367,False
CESC,0.08,0.0312,True
CHOL,0.19,0.0665,True
CHOL,0.33,0.0909,False
COAD,0.06,0.0385,True
COAD,0.1,0.0500,False
DLBC,0.04,0.0308,True
ESCA,0.17,0.0336,True
ESCA,0.09,0.0429,False
GBM,0.09,0.0333,True
HNSC,0.11,0.0385,True
HNSC,0.02,0.0281,False
KICH,0.03,0.0357,True
KICH,0.17,0.0378,False
KIRC,0.08,0.0323,True
KIRC,0.04,0.0400,False
KIRP,0.07,0.0435,True
KIRP,0.03,0.0407,False
LAML,0.03,0.0714,True
LGG,0.05,0.0323,True
LIHC,0.18,0.0556,True
LIHC,0.2,0.0691,False
LUAD,0.12,0.0400,True
LUAD,0.1,0.0476,False
LUSC,0.12,0.0381,True
LUSC,0.08,0.0435,False
MESO,0.22,0.0548,True
OV,0.14,0.0364,True
PAAD,0.12,0.0476,True
PCPG,0.15,0.0500,True
PCPG,0.33,0.0667,False
PRAD,0.06,0.0345,True
PRAD,0.1,0.0323,False
READ,0.09,0.0455,True
SARC,0.13,0.0364,True
SKCM,0.08,0.0323,True
SKCM,1.0,0.0625,False
STAD,0.18,0.0476,True
STAD,0.09,0.0475,False
TGCT,0.13,0.0256,True
THCA,0.06,0.0364,True
THCA,0.05,0.0278,False
THYM,0.03,0.0193,True
UCEC,0.11,0.0455,True
UCEC,0.09,0.0294,False
UCS,0.05,0.0219,True
UVM,0.09,0.0476,True
ACC,0.09,0.0370,True
BLCA,0.1,0.0417,True
BLCA,0.05,0.0323,False
BRCA,0.06,0.0333,True
BRCA,0.02,0.0306,False
CESC,0.05,0.0302,True
CHOL,0.22,0.0741,True
CHOL,0.22,0.0695,False
COAD,0.08,0.0466,True
COAD,0.02,0.0609,False
DLBC,0.02,0.0244,True
ESCA,0.08,0.0286,True
GBM,0.08,0.0400,True
HNSC,0.08,0.0370,True
HNSC,0.05,0.0385,False
KICH,0.02,0.0476,True
KICH,0.04,0.0435,False
KIRC,0.06,0.0323,True
KIRC,0.08,0.0385,False
KIRP,0.04,0.0357,True
KIRP,0.06,0.0345,False
LAML,0.02,0.0667,True
LGG,0.06,0.0323,True
LIHC,0.12,0.0526,True
LIHC,0.2,0.0784,False
LUAD,0.1,0.0381,True
LUAD,0.03,0.0381,False
LUSC,0.11,0.0370,True
LUSC,0.06,0.0308,False
MESO,0.1,0.0445,True
OV,0.07,0.0256,True
PAAD,0.09,0.0455,True
PCPG,0.11,0.0513,True
PCPG,0.33,0.0441,False
PRAD,0.04,0.0339,True
PRAD,0.04,0.0297,False
READ,0.1,0.0513,True
SARC,0.08,0.0323,True
SKCM,0.07,0.0328,True
STAD,0.07,0.0404,True
TGCT,0.09,0.0227,True
THCA,0.07,0.0357,True
THCA,0.05,0.0417,False
THYM,0.01,0.0217,True
UCEC,0.08,0.0466,True
UCEC,0.03,0.0370,False
UCS,0.04,0.0204,True
UVM,0.06,0.0435,True
ACC,0.09,0.0588,True
BLCA,0.07,0.0370,True
BRCA,0.04,0.0303,True
CESC,0.03,0.0270,True
CHOL,0.06,0.0357,True
CHOL,0.11,0.0833,False
COAD,0.05,0.0435,True
COAD,0.02,0.0638,False
DLBC,0.06,0.0265,True
ESCA,0.03,0.0229,True
GBM,0.02,0.0286,True
HNSC,0.04,0.0333,True
KICH,0.12,0.0521,False
KIRC,0.03,0.0333,True
KIRP,0.03,0.0370,True
KIRP,0.03,0.0345,False
LAML,0.03,0.0714,True
LGG,0.03,0.0308,True
LIHC,0.1,0.0541,True
LIHC,0.1,0.0909,False
LUAD,0.06,0.0393,True
LUAD,0.02,0.0476,False
LUSC,0.06,0.0323,True
MESO,0.03,0.0357,True
OV,0.05,0.0270,True
PAAD,0.08,0.0466,True
PCPG,0.05,0.0422,True
PRAD,0.03,0.0333,True
PRAD,0.02,0.0435,False
READ,0.07,0.0513,True
SARC,0.05,0.0286,True
SKCM,0.06,0.0303,True
STAD,0.03,0.0294,True
TGCT,0.03,0.0222,True
THCA,0.03,0.0333,True
UCEC,0.04,0.0333,True
UCEC,0.09,0.0625,False
UCS,0.05,0.0215,True
UVM,0.02,0.0312,True
LIHC,0.0,0.0769,True
ACC,0.01,0.0419,True
BLCA,0.0,0.0308,True
BLCA,0.05,0.0556,False
BRCA,0.01,0.0323,True
BRCA,0.02,0.1143,False
CESC,0.01,0.0280,True
COAD,0.01,0.0714,True
ESCA,0.02,0.0228,True
GBM,0.01,0.0357,True
GBM,0.2,0.0714,False
HNSC,0.01,0.0303,True
KIRC,0.01,0.0357,True
KIRP,0.03,0.0667,False
LGG,0.0,0.0270,True
LIHC,0.02,0.0606,True
LUAD,0.01,0.0323,True
LUAD,0.02,0.0769,False
LUSC,0.0,0.0303,True
LUSC,0.02,0.0347,False
OV,0.0,0.0189,True
PAAD,0.01,0.0337,True
PCPG,0.01,0.0588,True
PRAD,0.02,0.0491,False
READ,0.01,0.0417,True
SARC,0.0,0.0230,True
SKCM,0.01,0.0312,True
STAD,0.01,0.0230,True
THCA,0.01,0.0345,True
UCEC,0.02,0.0519,True
UCEC,0.03,0.0833,False
ACC,0.04,0.0667,True
BLCA,0.05,0.0479,True
BLCA,0.11,0.0625,False
BRCA,0.04,0.0476,True
BRCA,0.01,0.0345,False
CESC,0.05,0.0476,True
CHOL,0.03,0.0513,True
COAD,0.03,0.0646,True
DLBC,0.04,0.0364,True
ESCA,0.05,0.0295,True
GBM,0.04,0.0459,True
HNSC,0.04,0.0435,True
KICH,0.02,0.1000,True
KICH,0.04,0.0448,False
KIRC,0.04,0.0526,True
KIRC,0.03,0.0714,False
KIRP,0.03,0.0774,True
KIRP,0.03,0.0833,False
LAML,0.02,0.0591,True
LGG,0.03,0.0455,True
LIHC,0.05,0.0742,True
LUAD,0.04,0.0476,True
LUAD,0.07,0.0742,False
LUSC,0.05,0.0488,True
LUSC,0.04,0.0625,False
MESO,0.08,0.0526,True
OV,0.05,0.0280,True
PAAD,0.04,0.0556,True
PAAD,0.5,0.1677,False
PCPG,0.04,0.0611,True
PRAD,0.04,0.0556,True
PRAD,0.06,0.0769,False
READ,0.03,0.0839,True
SARC,0.05,0.0417,True
SKCM,0.04,0.0500,True
STAD,0.03,0.0364,True
TGCT,0.01,0.0294,True
THCA,0.04,0.0526,True
THCA,0.02,0.0528,False
THYM,0.05,0.0312,True
UCEC,0.03,0.0500,True
UCS,0.04,0.0278,True
UVM,0.04,0.0625,True
BLCA,0.01,0.0448,True
BRCA,0.01,0.0393,True
ESCA,0.01,0.0323,True
GBM,0.01,0.0312,True
HNSC,0.0,0.0344,True
KIRC,0.01,0.0667,True
KIRP,0.02,0.0667,True
KIRP,0.03,0.0556,False
LIHC,0.01,0.0667,True
LIHC,0.04,0.0812,False
LUAD,0.0,0.0485,True
LUSC,0.0,0.0303,True
MESO,0.01,0.0500,True
OV,0.0,0.0133,True
PAAD,0.01,0.0635,True
PCPG,0.01,0.0526,True
PRAD,0.0,0.0455,True
PRAD,0.04,0.0526,False
SARC,0.0,0.0351,True
SKCM,0.0,0.0357,True
STAD,0.01,0.0178,True
THCA,0.0,0.0385,True
UCEC,0.0,0.0667,True
ACC,0.08,0.0556,True
BLCA,0.18,0.0625,True
BLCA,0.26,0.0909,False
BRCA,0.23,0.0645,True
BRCA,0.17,0.0667,False
CESC,0.18,0.0551,True
CHOL,0.11,0.0909,True
COAD,0.08,0.0714,True
COAD,0.15,0.0812,False
DLBC,0.1,0.0364,True
ESCA,0.24,0.0345,True
ESCA,0.09,0.0262,False
GBM,0.15,0.0455,True
GBM,0.4,0.0765,False
HNSC,0.21,0.0635,True
HNSC,0.14,0.0628,False
KICH,0.02,0.1000,True
KICH,0.17,0.0625,False
KIRC,0.21,0.0588,True
KIRC,0.04,0.0544,False
KIRP,0.12,0.0667,True
KIRP,0.12,0.0526,False
LAML,0.07,0.0628,True
LGG,0.18,0.0588,True
LIHC,0.12,0.0742,True
LIHC,0.08,0.0955,False
LUAD,0.17,0.0667,True
LUAD,0.1,0.0909,False
LUSC,0.18,0.0588,True
LUSC,0.06,0.0417,False
MESO,0.23,0.0769,True
OV,0.27,0.0389,True
PAAD,0.16,0.0769,True
PAAD,0.25,0.1034,False
PCPG,0.2,0.0714,True
PRAD,0.14,0.0556,True
PRAD,0.17,0.0714,False
READ,0.14,0.0667,True
READ,0.2,0.0955,False
SARC,0.28,0.0625,True
SARC,0.5,0.0909,False
SKCM,0.19,0.0556,True
SKCM,1.0,0.1176,False
STAD,0.23,0.0448,True
STAD,0.19,0.0397,False
TGCT,0.21,0.0476,True
THCA,0.17,0.0645,True
THCA,0.03,0.0435,False
THYM,0.17,0.0357,True
UCEC,0.18,0.0625,True
UCEC,0.23,0.0667,False
UCS,0.27,0.0455,True
UVM,0.1,0.0625,True
ACC,0.1,0.0750,True
BLCA,0.24,0.0667,True
BLCA,0.21,0.0850,False
BRCA,0.29,0.0667,True
BRCA,0.18,0.0588,False
CESC,0.22,0.0572,True
CHOL,0.11,0.0909,True
COAD,0.14,0.0769,True
COAD,0.12,0.0833,False
DLBC,0.21,0.0588,True
ESCA,0.26,0.0357,True
ESCA,0.18,0.0358,False
GBM,0.18,0.0455,True
GBM,0.2,0.0421,False
HNSC,0.2,0.0588,True
HNSC,0.11,0.0667,False
KICH,0.06,0.0871,True
KICH,0.21,0.1000,False
KIRC,0.26,0.0625,True
KIRC,0.18,0.0667,False
KIRP,0.11,0.0683,True
KIRP,0.19,0.0680,False
LAML,0.11,0.0769,True
LGG,0.23,0.0588,True
LIHC,0.11,0.0801,True
LIHC,0.02,0.1250,False
LUAD,0.2,0.0667,True
LUAD,0.12,0.0667,False
LUSC,0.23,0.0625,True
LUSC,0.16,0.0544,False
MESO,0.31,0.0714,True
OV,0.29,0.0424,True
PAAD,0.15,0.0833,True
PCPG,0.24,0.0714,True
PRAD,0.23,0.0606,True
PRAD,0.33,0.0667,False
READ,0.16,0.0714,True
READ,0.1,0.0526,False
SARC,0.3,0.0588,True
SARC,0.5,0.1304,False
SKCM,0.21,0.0556,True
SKCM,1.0,0.1176,False
STAD,0.29,0.0455,True
STAD,0.22,0.0417,False
TGCT,0.24,0.0417,True
THCA,0.18,0.0625,True
THCA,0.07,0.0476,False
THYM,0.15,0.0396,True
UCEC,0.23,0.0667,True
UCEC,0.23,0.0526,False
UCS,0.27,0.0476,True
UVM,0.18,0.0755,True
ACC,0.27,0.0909,True
BLCA,0.48,0.0909,True
BLCA,0.37,0.0635,False
BRCA,0.58,0.1053,True
BRCA,0.4,0.0909,False
CESC,0.56,0.0870,True
CHOL,0.28,0.0909,True
COAD,0.3,0.0833,True
COAD,0.27,0.1000,False
DLBC,0.44,0.0667,True
ESCA,0.72,0.0833,True
ESCA,0.55,0.0728,False
GBM,0.57,0.0949,True
GBM,1.0,0.0625,False
HNSC,0.53,0.1000,True
HNSC,0.36,0.0728,False
KICH,0.12,0.0833,True
KICH,0.33,0.1270,False
KIRC,0.46,0.0895,True
KIRC,0.36,0.0852,False
KIRP,0.22,0.0909,True
KIRP,0.41,0.0769,False
LAML,0.25,0.0870,True
LGG,0.61,0.1053,True
LIHC,0.25,0.1000,True
LIHC,0.04,0.1294,False
LUAD,0.48,0.1000,True
LUAD,0.27,0.0909,False
LUSC,0.49,0.0909,True
LUSC,0.43,0.0833,False
MESO,0.48,0.1000,True
OV,0.76,0.1019,True
PAAD,0.32,0.1000,True
PAAD,0.25,0.1006,False
PCPG,0.48,0.1000,True
PCPG,0.33,0.1667,False
PRAD,0.48,0.0909,True
PRAD,0.5,0.0952,False
READ,0.28,0.1000,True
READ,0.1,0.0833,False
SARC,0.59,0.1053,True
SARC,0.5,0.1304,False
SKCM,0.53,0.0909,True
SKCM,1.0,0.1053,False
STAD,0.68,0.0922,True
STAD,0.53,0.0645,False
TGCT,0.54,0.0895,True
THCA,0.51,0.0952,True
THCA,0.31,0.0628,False
THYM,0.61,0.0822,True
THYM,0.5,0.1622,False
UCEC,0.44,0.1053,True
UCEC,0.6,0.1319,False
UCS,0.7,0.1290,True
UVM,0.38,0.1000,True
ACC,0.05,0.0667,True
BLCA,0.09,0.0556,True
BLCA,0.05,0.0528,False
BRCA,0.09,0.0435,True
BRCA,0.03,0.0323,False
CESC,0.09,0.0476,True
CHOL,0.11,0.0588,True
COAD,0.05,0.0625,True
COAD,0.07,0.0625,False
DLBC,0.02,0.0297,True
ESCA,0.08,0.0233,True
GBM,0.11,0.0556,True
HNSC,0.07,0.0417,True
HNSC,0.07,0.0463,False
KICH,0.05,0.0769,True
KICH,0.04,0.0714,False
KIRC,0.06,0.0435,True
KIRC,0.06,0.0611,False
KIRP,0.04,0.0500,True
KIRP,0.12,0.0417,False
LAML,0.05,0.0670,True
LGG,0.09,0.0476,True
LIHC,0.07,0.0691,True
LIHC,0.06,0.0769,False
LUAD,0.11,0.0588,True
LUAD,0.07,0.0812,False
LUSC,0.07,0.0435,True
LUSC,0.02,0.0370,False
MESO,0.06,0.0466,True
OV,0.08,0.0294,True
PAAD,0.03,0.0488,True
PCPG,0.05,0.0476,True
PRAD,0.08,0.0526,True
PRAD,0.06,0.0435,False
READ,0.08,0.0769,True
READ,0.1,0.0769,False
SARC,0.07,0.0385,True
SKCM,0.06,0.0357,True
STAD,0.08,0.0303,True
STAD,0.06,0.0298,False
TGCT,0.09,0.0312,True
THCA,0.06,0.0476,True
THCA,0.02,0.0370,False
THYM,0.03,0.0286,True
UCEC,0.09,0.0588,True
UCEC,0.03,0.0426,False
UCS,0.09,0.0364,True
UVM,0.08,0.0714,True
LGG,0.0,0.0588,True
KIRC,0.0,0.0462,True
OV,0.0,0.0159,True
THCA,0.0,0.0833,True
ACC,0.06,0.0588,True
BLCA,0.01,0.0385,True
BLCA,0.05,0.0356,False
BRCA,0.04,0.0364,True
BRCA,0.02,0.0345,False
CESC,0.01,0.0333,True
CHOL,0.06,0.0588,True
CHOL,0.11,0.1000,False
COAD,0.03,0.0588,True
DLBC,0.02,0.0373,True
ESCA,0.02,0.0234,True
GBM,0.01,0.0389,True
HNSC,0.01,0.0345,True
KIRC,0.01,0.0357,True
