cancer,edin,p50,is_tumor
LUAD,0.0,0.0572,True
OV,0.0,0.1333,True
TGCT,0.01,0.1000,True
THCA,0.0,0.0588,True
BLCA,0.01,0.1771,True
BRCA,0.0,0.1438,True
BRCA,0.02,0.2500,False
CESC,0.0,0.1818,True
COAD,0.0,0.5333,True
ESCA,0.01,0.2000,True
GBM,0.01,0.0909,True
HNSC,0.0,0.1429,True
KIRC,0.01,0.2864,True
KIRP,0.01,0.1818,True
LAML,0.01,0.0769,True
LUAD,0.01,0.1538,True
LUSC,0.01,0.1364,True
OV,0.01,0.1909,True
SKCM,0.0,0.1111,True
TGCT,0.01,0.1500,True
BLCA,0.03,0.1624,True
BRCA,0.01,0.1705,True
BRCA,0.01,0.3125,False
CESC,0.01,0.3417,True
ESCA,0.01,0.5000,True
HNSC,0.0,0.1765,True
KIRC,0.02,0.1603,True
KIRP,0.01,0.4000,True
LGG,0.0,0.2000,True
LUAD,0.02,0.1771,True
LUSC,0.04,0.1818,True
LUSC,0.04,0.1417,False
OV,0.01,0.1000,True
PAAD,0.01,0.1000,True
SARC,0.01,0.1885,True
SKCM,0.02,0.1000,True
STAD,0.01,0.2313,True
TGCT,0.04,0.1667,True
THCA,0.01,0.2000,True
THYM,0.02,0.1000,True
UCEC,0.0,0.2500,True
UVM,0.01,0.1000,True
BLCA,0.03,0.1269,True
BRCA,0.01,0.1893,True
BRCA,0.01,0.3750,False
CESC,0.01,0.1000,True
ESCA,0.01,0.1000,True
KIRC,0.02,0.1538,True
KIRP,0.03,0.2000,True
LUAD,0.03,0.0955,True
LUSC,0.04,0.2000,True
LUSC,0.02,0.2727,False
OV,0.01,0.1667,True
PAAD,0.01,0.2000,True
SARC,0.01,0.3769,True
SKCM,0.02,0.0909,True
TGCT,0.04,0.1000,True
THCA,0.01,0.1659,True
THYM,0.02,0.1917,True
UVM,0.01,0.2000,True
LUAD,0.0,0.1000,True
BLCA,0.01,0.0714,True
BRCA,0.0,0.2834,True
ESCA,0.01,0.2143,True
KIRC,0.01,0.1750,True
KIRP,0.01,0.2000,True
LUAD,0.01,0.0833,True
LUSC,0.01,0.1000,True
OV,0.01,0.1250,True
SKCM,0.01,0.1000,True
STAD,0.01,0.2000,True
TGCT,0.02,0.0909,True
THCA,0.0,0.1818,True
UCS,0.02,0.1667,True
KIRC,0.0,0.0909,True
LAML,0.01,0.0801,True
PCPG,0.01,0.1000,True
BLCA,0.0,0.0922,True
ESCA,0.01,0.1909,True
OV,0.01,0.1215,True
BLCA,0.0,0.0670,True
ESCA,0.01,0.2727,True
LUAD,0.0,0.0625,True
LUSC,0.0,0.1000,True
OV,0.02,0.1000,True
THCA,0.0,0.0909,True
OV,0.0,0.0833,True
BRCA,0.0,0.1000,True
OV,0.01,0.1000,True
BLCA,0.0,0.0769,True
BRCA,0.0,0.1000,True
KIRC,0.0,0.3636,True
OV,0.01,0.0885,True
LUAD,0.0,0.1429,True
OV,0.0,0.0667,True
OV,0.01,0.1340,True
BLCA,0.0,0.2143,True
BLCA,0.0,0.2308,True
BLCA,0.0,0.2143,True
BRCA,0.0,0.2500,True
OV,0.01,0.2167,True
BLCA,0.01,0.1886,True
BRCA,0.0,0.0909,True
GBM,0.01,0.1000,True
LUAD,0.0,0.0691,True
LUSC,0.0,0.2000,True
OV,0.02,0.3000,True
SKCM,0.0,0.0769,True
STAD,0.0,0.1000,True
THCA,0.0,0.0909,True
UCEC,0.0,0.3636,True
UCS,0.02,0.4000,True
BLCA,0.01,0.3688,True
BRCA,0.0,0.4242,True
KIRC,0.0,0.1864,True
LAML,0.01,0.3636,True
LUAD,0.0,0.2476,True
LUSC,0.01,0.3000,True
OV,0.03,0.1818,True
SKCM,0.0,0.2103,True
STAD,0.0,0.0909,True
THCA,0.0,0.2000,True
UCEC,0.0,0.4000,True
BLCA,0.0,0.2303,True
BRCA,0.0,0.1538,True
KIRC,0.0,0.2727,True
LUAD,0.0,0.1743,True
BLCA,0.02,0.4091,True
BRCA,0.0,0.5000,True
GBM,0.01,0.2000,True
KIRC,0.01,0.3333,True
LUAD,0.01,0.3077,True
LUSC,0.01,0.1818,True
OV,0.03,0.2902,True
SKCM,0.01,0.2389,True
STAD,0.01,0.4091,True
TGCT,0.01,0.2727,True
THYM,0.02,0.2500,True
UCEC,0.01,0.1818,True
BLCA,0.0,0.0938,True
BRCA,0.0,0.2308,True
CHOL,0.03,0.2727,True
KIRC,0.0,0.0909,True
LUAD,0.0,0.0833,True
LUSC,0.0,0.0833,True
SKCM,0.0,0.0714,True
BLCA,0.02,0.1357,True
BRCA,0.0,0.1818,True
ESCA,0.02,0.1818,True
KIRC,0.01,0.4000,True
LAML,0.01,0.5000,True
LGG,0.0,0.6000,True
LUAD,0.01,0.4000,True
LUSC,0.0,0.2000,True
OV,0.03,0.1818,True
PAAD,0.01,0.5000,True
SKCM,0.01,0.5000,True
STAD,0.01,0.2727,True
TGCT,0.02,0.2000,True
THCA,0.01,0.2143,True
THYM,0.02,0.0857,True
UCEC,0.0,0.4286,True
UCS,0.02,0.4286,True
BLCA,0.02,0.1667,True
BRCA,0.0,0.1909,True
ESCA,0.01,0.0955,True
GBM,0.01,0.1000,True
KIRC,0.01,0.2000,True
LUAD,0.01,0.1409,True
LUSC,0.01,0.1333,True
OV,0.03,0.1667,True
PAAD,0.01,0.1000,True
SKCM,0.01,0.1000,True
STAD,0.0,0.0909,True
TGCT,0.01,0.2308,True
THCA,0.01,0.1788,True
THYM,0.02,0.0871,True
UCEC,0.0,0.3333,True
UCS,0.02,0.1538,True
BLCA,0.0,0.0556,True
BRCA,0.0,0.0909,True
LUAD,0.0,0.0769,True
OV,0.0,0.0962,True
SKCM,0.0,0.0556,True
STAD,0.0,0.0833,True
UCS,0.02,0.0667,True
